"は","wa","p","TOPIC","好きなスポーツはテニスです","My favorite sport is tennis"
"た","ta","aux","PAST","昨日、彼を見ましたか","Did you see him yesterday?"
"だ","da","aux","COPULA","僕は英語が苦手だ","I’m not good at English"
"ます","masu","aux","POLITE (after verb)","来週京都へ行きます","I will go to Kyoto next week"
"も","mo","p","too, also","彼が行くなら、私も行きます","If he is going, I will go too"
"です","desu","aux","COPULA (polite)","彼は独身です","He is single"
"れる","reru","aux","PASSIVE","日本で使われている通貨は円です","The currency used in Japan is yen"
"事","koto","n","thing","今年はいろいろな事があった","All kinds of things happened this year"
"する","suru","v","do; make","仕事をしなければなりません","I have to do my work"
"まー，まあ","maa","interj","Wow!, Oh my God!","まー、なんて素晴らしいんでしょう","Wow! That’s amazing!"
"の","no","p","POSSESSIVE","彼が言ったのは本当だ","What he said is true"
"ある","aru","v","be (existence), have (possession), happen, occur","彼の報告書は問題がある","His report has some problems"
"ない","nai","aux","not","彼は朝ごはんを食べない","He doesn’t have breakfast"
"なる","naru","v","become, get; come to do, start to do; turn into","彼は金持ちになるでしょう","He will become rich"
"その","sono","adn","that","そのカバンを取ってくれませんか","Can you pass me that bag?"
"けれど","keredo","conj","though, although","このアパートはあまり良くないけれど安い","This apartment is cheap, though it’s not so nice"
"よう","you","aux","INDUCEMENT","一緒にDVDを見よう","Let’s watch a DVD together"
"思う","omou","v","think, believe; feel; expect","私はそう思いません","I don’t think so"
"で","de","conj","so, then","で、あの話はどうなりましたか？","So what happened about the story you mentioned?"
"か","ka","p","if; or","誰か来たようだ","It seems that someone has come"
"物","mono","n","thing, object, stuff","そんなに高い物は買えません","I can’t buy such expensive stuff"
"そう","sou","adv","so, such","私もそう思います","I think so too"
"何","nani","pron","what; something; anything; nothing","何を考えているんですか？","What are you thinking?"
"それ","sore","pron","that","それは明子さんのカバンですか","Is that Akiko’s bag?"
"この","kono","adn","this","この本をもう読みましたか","Have you read this book?"
"無い","nai","i-adj","There is no , no","今、お金が無いんです","I have no money now"
"せる","seru","aux","CAUSATIVE","子供にピアノを習わせたい","I want my child to learn how to play the piano"
"これ","kore","pron","this","これをください(レストランや店で）—","I will take this (in a restaurant or shop)"
"もう","moo","adv","already; soon; again","もう寝ます","I’ll go to bed soon"
"時","toki","n","time","時が悲しみを癒してくれますよ","Time will heal your sorrow"
"ず","zu","aux","NEGATION","彼は何も言わずに去ってしまった","He left without saying anything"
"人","hito","n","person, people, human being","その歌手は若い人に人気がある","That singer is popular among young people"
"こう","koo","adv","so, like this","粉と水を混ぜ、こうしてよくこねてください","Mix flour and water together, and knead the dough like this"
"や","ya","p","and; or","結婚式に家族や友人を招待した","We invited our family and friends to the wedding"
"来る","kuru","v","come","ここに来てください","Come here, please"
"まで","made","p","to, till, until","休暇は明日から来週の水曜日までです","My vacation is from tomorrow till next Wednesday"
"見る","miru","v","see; look at, watch; check","通りを渡る前に左右を見た","I looked left and right before crossing the street"
"たり","tari","p","and","日曜日はよく部屋の掃除をしたり、本を読んだりする","I usually clean up my room and read books on Sunday"
"今","ima","n","now","今、何時ですか","What time is it now?"
"所","tokoro","n","place, point; part; aspect","先週はいろいろな所に行った","I went to many places last week"
"自分","jibun","n","oneself","彼は九十歳だが何でも自分でできる","He is ninety years old, yet he can do everything by himself"
"ん","n","interj","oh, mm, well","ん、何かがおかしいな","Hmm, something is wrong"
"あー","aa","interj","er, uh, um, hmm, ah, oh","「入ってもいい」「あー、ちょっと待って","」— “Can I come in?” “Uh Just a minute ”"
"たい","tai","aux","want to, like to","コーヒーが飲みたいな、ちょっと休もう","I want to have a cup of coffee Let’s have a break"
"やる","yaru","v","do; make; give","今すぐやります","I’ll do that right now"
"中","naka","n","inside, in; into","太郎は部屋の中に入った","Taro came into the room"
"いる","iru","v","be, exist; stay","「どこにいるの」「ここだよ","」— “Where are you?” “I’m here ”"
"できる","dekiru","v","be ready","夕食ができましたよ","Dinner is ready"
"など","nado","p","and so on, etc","警察官は私の名前や年齢などを尋ねた","The policeman asked me my name, age, and so on"
"後","ato","n","after, later","後で電話します","I’ll call you later"
"また","mata","adv","additionally, moreover conj again; too, and","彼女は医者であり、また、歌手でもある","She is a doctor as well as a singer また同じ間違いをしてしまった — I made the same mistake again"
"ちょっと","chotto","adv","( just) a little, a bit","最近、ちょっと太ってしまった","I gained a bit of weight recently"
"だけ","dake","p","only, alone, merely","チャンスは一回だけだ","I have only one chance"
"えーと","eeto","interj","well, let me see","えーと、会議は何時からだっけ","Well, what time does the meeting start?"
"方","hou","n","direction, way; side","この部屋は午後になると西の方から日が差す","This room gets the sun in the afternoon from the west"
"訳","wake","n","reason, cause","訳を話してください","Tell me the reason"
"どう","dou","adv","how, what","彼をどう思いますか","What do you think of him?"
"本当","hontou","n","truth, right","それは本当かな","I wonder if it is true"
"持つ","motsu","v","have, take, hold","これを持ってくれませんか","Can you hold this?"
"出る","deru","v","go out, come out; attend","私は部屋から出た","I went out of the room"
"ため","tame","n","for","これは初心者のための本です","This is a book for beginners"
"すごい","sugoi","i-adj","fantastic, wonderful; terrible","昨夜はすごい雨だった","It was raining very hard last night"
"考える","kangaeru","v","think","よく考えてから話しなさい","Think it through before you speak"
"そこ","soko","pron","there; then","彼はよくそこでタバコを吸っている","He often smokes there"
"う","u","aux","SOLICITATION","さあ、行こう","Let’s go"
"分かる","wakaru","v","understand, see","彼女の言っていることはよく分からない","I don’t quite understand what she’s saying"
"入る","hairu","v","enter, come in, go in","どうぞお入りください","Please come in"
"作る","tsukuru","v","make, create, cook","彼女は朝食に目玉焼きを作った","She cooked a fried egg for her breakfast"
"聞く，聴く","kiku","v","hear; listen; listen to, obey","彼女は母親の言うことを聞かなかった","She didn’t listen to her mother"
"そして","soshite","conj","and, so","朝早く起きたそして、散歩に出かけた","I got up early in the morning, and went for a walk"
"場合","baai","n","case, occasion","雨の場合、お祭りは中止です","In case of rain, the festival will be cancelled"
"話","hanashi","n","story, talk","話があります","I have something to tell you"
"そんな","sonna","adn","that, such","彼がそんなことをするはずがない","He can’t do such a thing"
"使う","tsukau","v","use, handle","この鍋はミルクを温めるのに使っています","I use this pan for warming milk"
"風","fuu","na-adj","style, type, way, like","あんな風に踊れるようになりたい","I wish that I could dance like that"
"おー","oo","interj","Oh!, Wow!","おー、これは立派な家だね","Wow! This is a nice house"
"前","mae","n","forward; front; before","子供の前でそんな話はするべきではない","We should not talk about things like that in front of children"
"多い","ooi","i-adj","many, much, a lot of","今年は雨が多い","There has been a lot of rain this year"
"よく","yoku","adv","good, well; often","私は彼をよく知っている","I know him well"
"一つ","hito-tsu","n","one","オレンジを一つ食べた","I ate an orange"
"子供","kodomo","n","child","私は子供が三人いる","I have three children"
"非常","hijou","na-adj","very, extremely","その国は非常に物価が高い","Prices in that country are extremely high"
"気","ki","n","mind, heart","彼女は気が強い","She is strong-minded"
"取る","toru","v","take, get; have; pass","塩をとってくれませんか","Will you pass me the salt?"
"知る","shiru","v","know","私は何も知りません","I don’t know anything about it"
"うー","uu","interj","Woo!, Oooh!","うー、寒い","Woo, it’s cold"
"感じ","kanji","n","feeling, impression; atmosphere","日本的な感じの部屋ですね","This room has a Japanese atmosphere"
